Video ID,Título,Data de Publicação,Duração,Playlists
009sWOFwc1M,"2025 06 01 - Retiro ""Para reencantar a vida cotidiana e agir com sabedoria"" #03",2025-06-01T12:11:18Z,PT2H44M40S,
01YvyYxJ6L0,#1177 Puja Diário | 30/06/23,2023-07-01T11:10:06Z,PT1H6M51S,
01jc0CjqrA4,#842 Prática de Prajnaparamita e Buda da Medicina | 30/07/22,2022-07-30T23:44:59Z,PT1H49M,
02aRd3pYeCk,#1274 Puja Diário | 06/10/23,2023-10-07T10:28:34Z,PT33M,
03AeNkzPDIU,#1089 Prática de Prajnaparamita e Buda da Medicina  |  03/04/23,2023-04-03T23:08:51Z,PT57M38S,
05MoSG1KjWI,#715 Prática de Prajnaparamita e Buda da Medicina | 25/03/22,2022-03-25T23:15:25Z,PT1H12M6S,
05t0rKJUIds,#1578 Puja Diário | 06/08/24,2024-08-07T11:37:19Z,PT1H15M55S,
0659PuGGBUE,2 - Meditação - Escola Caminho do Meio 2,2013-06-25T23:13:42Z,PT30M36S,
07oEMwvM0TA,Retiro de Verão 2016 (antigo #16),2016-02-11T20:09:40Z,PT1H35M4S,
08rZxs7YxOI,Palestra: Visões de paz e sociedade,2023-05-18T15:02:10Z,PT2H7M1S,
0A5XGz4L0Aw,#1297 Puja Diário | 29/10/23,2023-10-30T10:57:48Z,PT56M45S,
0B1xZXadWGQ,#705 Prática de Prajnaparamita e Buda da Medicina | 15/03/22,2022-03-15T23:25:43Z,PT1H26M15S,
0C4FUH_02ko,#494 Prática de Prajnaparamita e Buda da Medicina | 19/08/2021,2021-08-19T22:49:27Z,PT52M36S,
0DNg2WRgPK0,Retiro de Verão 2019 | #17 | 09.03 | 14h,2019-03-09T20:14:02Z,PT2H4M59S,
0DQYFnScDxQ,#1079 Prática de Prajnaparamita e Buda da Medicina  |  24/03/23,2023-03-24T23:55:03Z,PT1H31M6S,
0ECLLmhk1Z4,2022 10 27 - Retiro |  Instruções Práticas do Buda para nossas Vidas - #11(novo),2022-10-25T19:25:12Z,PT2H38M55S,
0EzjB7zF-Os,#1682 Puja Diário | 18/11/24,2024-11-19T11:10:21Z,PT50M15S,
0G8R-diDLto,As 5 Sabedorias,2013-06-25T23:11:11Z,PT1H27M15S,
0GMKAYVIN3Q,#1758 Puja Diário | 04/02/25,2025-02-05T11:03:36Z,PT53M36S,
0GdNCDpv7Wg,#1587 Puja Diário | 15/08/24,2024-08-16T11:00:49Z,PT56M51S,
0Is2XaTL2O0,2022 09 04 - Retiro | O Caminho de Méritos e Sabedoria - #4,2022-09-04T11:47:47Z,PT3H45M1S,
0JeSgKJwpmY,2022 09 03 - Retiro | O Caminho de Méritos e Sabedoria - #1,2022-08-13T22:00:25Z,PT4H10M11S,
0KKMTijRL1A,2023 03 11 Retiro A Prática das Quatro Confianças para  permanecer firme no Caminho da Liberação #01,2023-02-10T18:18:38Z,PT2H45M30S,
0LvHEa8ig4c,"Perguntas e Respostas | Retiro de Verão 2017 #23 (10º dia, noite)",2017-02-27T00:50:49Z,PT1H13M32S,
0M2S8xGiOa4,#486 Prática de Prajnaparamita e Buda da Medicina | 11/08/2021,2021-08-11T23:08:56Z,PT1H3M6S,
0NOwThvGq04,#50 | Prática Prajnaparamita e Buda da Medicina | 01/06/2020,2020-06-02T00:53:45Z,PT1H43M55S,
0Ou0LKKsEdM,2025 01 29 - Retiro de Verão 2025 no CEBB Sukhavati #14,2025-01-29T12:00:32Z,PT2H56M11S,
0OuE2S0swaE,#197 Prática Prajnaparamita e Buda da Medicina | 26/10/2020,2020-10-27T00:11:33Z,PT59M55S,
0PYGr0SO9Y0,"2023 04 07 - Retiro ""Ação e Pacificação na Roda da Vida"" CEBB Mendjila #01",2023-03-09T20:25:44Z,PT2H40M26S,
0R2EWv_4VU4,"Retiro de Inverno 2016 #16 | Perguntas e Respostas (6º dia, noite)",2016-07-29T01:18:35Z,PT1H27M43S,
0R4W6gkwDhY,2022 06 03 - Retiro: Apresentação dos Estágios do Caminho Budista - #2,2022-05-24T21:09:42Z,PT3H8M1S,
0V65G5L5Vuc,"Retiro ""Psicologia Budista"" - Parte 2/6",2012-09-04T10:12:29Z,PT2H16M18S,
0Vn6lc4bIWg,#19 Retiro de Verão | 2018,2018-02-17T14:32:33Z,PT2H17M43S,
0WUzk64CJpM,Retiro de Verão 2014 com Lama Padma Samten (1º dia),2014-02-15T00:24:51Z,PT1H34M26S,
0X04jq9Pgf8,#1663 Puja Diário | 29/10/24,2024-10-30T11:14:45Z,PT59M55S,
0Y941ZVkPbk,teste tela piscando,2022-09-09T20:31:34Z,PT9M20S,
0YmSvOZq7vA,#876 Prática de Prajnaparamita e Buda da Medicina | 02/09/22,2022-09-02T23:14:00Z,PT1H10M35S,
0ZAZYDL-AUc,#04 | Retiro Inverno 2021 | Natureza da Realidade | 25/07/21 | Domingo Manhã,2022-11-22T00:18:13Z,PT2H54M31S,
0ZbRPldUW2s,Lama Padma Samten em Campinas - 4/14,2010-02-23T15:33:58Z,PT10M1S,
0aLJl1qPtXY,"Retiro Coração da Sabedoria: ensinamentos sobre a prajnaparamita #3 (1° dia, noite)",2016-05-15T00:44:09Z,PT1H12M1S,
